jenis_kelamin,usia,pendidikan,pekerjaan,penghasilan,domisili,durasi_internet,aktivitas_online_meningkat,emoney_pilihan1,emoney_pilihan2,emoney_pilihan3,emoney_pilihan4,emoney_pilihan5,emoney_pilihan6,emoney_pilihan7,emoney_pilihan8,emoney_pilihan9,emoney_pilihan10,emoney_pilihan11,alasan_emoney_1,alasan_emoney_2,alasan_emoney_3,alasan_emoney_4,alasan_money_5,penggunaan_emoney_1,penggunaan_emoney_2,penggunaan_emoney_3,penggunaan_emoney_4,penggunaan_emoney_5,penggunaan_emoney_6,penggunaan_emoney_7,penggunaan_emoney_8,penggunaan_emoney_9,penggunaan_emoney_10,cara_topup_emoney_1,cara_topup_emoney_2,cara_topup_emoney_3,cara_topup_emoney_4,cara_topup_emoney_5,cara_topup_emoney_6,cara_topup_emoney_7,nominal_topup,freq_topup,keluhan_emoney_1,keluhan_emoney_2,keluhan_emoney_3,keluhan_emoney_4,penggunaan_qr_1,penggunaan_qr_2,penggunaan_qr_3,penggunaan_qr_4,lokasi_qr_1,lokasi_qr_2,lokasi_qr_3,lokasi_qr_4,lokasi_qr_5
Pria,65.0,S1,Pengusaha,> Rp 10 juta,jakarta,3.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,yogyakarta,15.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,14.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,3.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,21.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,medan,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,33.0,S2,"Profesional ( Dokter, Dosen, Pengacara, dll)",> Rp 10 juta,bandung,15.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,38.0,SMA,Karyawan Swasta,Rp 2 juta – Rp 5 juta,bogor,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,23.0,SMK,Pelajar / Mahasiswa,< Rp 2 juta,tangerang,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,24.0,D3,Pegawai Negeri,Rp 2 juta – Rp 5 juta,tangerang,14.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,bandung,20.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,52.0,S1,"Profesional ( Dokter, Dosen, Pengacara, dll)",Rp 2 juta – Rp 5 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jatinangor,10.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,singkawang,4.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,25.0,D4,Pegawai Negeri,Rp 5 juta – Rp 10 juta,jakarta,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,6.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,28.0,S1,Pegawai Negeri,Rp 5 juta – Rp 10 juta,bandung,3.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,22.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,bandung,3.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,54.0,S1,Ibu Rumah Tangga,> Rp 10 juta,jakarta,8.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,6.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,39.0,S2,Pengusaha,> Rp 10 juta,yogyakarta,10.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,51.0,S1,Konsultan Pertanian,> Rp 10 juta,bogor,8.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,41.0,S2,Karyawan Swasta,> Rp 10 juta,tangerang,8.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,30.0,S1,Karyawan Swasta,Rp 2 juta – Rp 5 juta,jakarta,18.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,surabaya,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,47.0,S1,Karyawan Swasta,> Rp 10 juta,tangerang,12.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,44.0,S1,Ibu Rumah Tangga,Rp 2 juta – Rp 5 juta,bandung,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,yogyakarta,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,44.0,D3,Karyawan Swasta,> Rp 10 juta,medan,15.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,lampung,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,21.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,bandung,3.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,25.0,S1,Karyawan Swasta,Rp 2 juta – Rp 5 juta,surabaya,18.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,cimahi,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,49.0,D3,Ibu Rumah Tangga,> Rp 10 juta,bogor,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,42.0,SMA,Karyawan Swasta,Rp 5 juta – Rp 10 juta,jakarta,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,27.0,D3,Karyawan Swasta,Rp 2 juta – Rp 5 juta,bandung,4.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,6.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,7.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,17.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,52.0,S1,Karyawan Swasta,> Rp 10 juta,jakarta,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,S1,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,semarang,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,42.0,S2,Karyawan Swasta,> Rp 10 juta,jakarta,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,17.0,SMP,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,5.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,S1,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,bandung,6.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,6.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,42.0,D3,Karyawan Swasta,Rp 5 juta – Rp 10 juta,makassar,8.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,50.0,S2,"Profesional ( Dokter, Dosen, Pengacara, dll)",> Rp 10 juta,jakarta,6.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,31.0,S1,Karyawan Swasta,> Rp 10 juta,medan,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,17.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,5.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,25.0,S1,"Profesional ( Dokter, Dosen, Pengacara, dll)",Rp 5 juta – Rp 10 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,23.0,S1,Karyawan Swasta,> Rp 10 juta,jakarta,12.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,50.0,S1,Karyawan Swasta,> Rp 10 juta,jakarta,8.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,28.0,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,tangerang,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,30.0,S1,Pegawai Negeri,Rp 2 juta – Rp 5 juta,sumatera barat,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,10.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,malang,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,59.0,D3,Ibu Rumah Tangga,Rp 2 juta – Rp 5 juta,bekasi,8.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,25.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,tangerang,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,12.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,21.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,yogyakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,55.0,S1,Pegawai Negeri,Rp 5 juta – Rp 10 juta,bondowoso,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,51.0,S1,Ibu Rumah Tangga,> Rp 10 juta,tangerang,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,34.0,S1,Karyawan Swasta,> Rp 10 juta,tangerang,18.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,45.0,S1,Karyawan Swasta,Rp 2 juta – Rp 5 juta,palembang,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,45.0,D3,Ibu Rumah Tangga,> Rp 10 juta,bekasi,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,28.0,S2,"Profesional ( Dokter, Dosen, Pengacara, dll)",Rp 5 juta – Rp 10 juta,depok,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bogor,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,45.0,S1,Karyawan Swasta,> Rp 10 juta,tangerang,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,31.0,SMA,Ibu Rumah Tangga,< Rp 2 juta,tangerang,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,12.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,yogyakarta,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,49.0,SMA,Karyawan Swasta,Rp 5 juta – Rp 10 juta,lampung,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,51.0,S1,Ibu Rumah Tangga,> Rp 10 juta,bandung,13.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,bekasi,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,cikarang,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,depok,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,bandung,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,22.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,yogyakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,52.0,S1,"Profesional ( Dokter, Dosen, Pengacara, dll)",> Rp 10 juta,bandung,8.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,purwokerto,15.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,32.0,S1,Ibu Rumah Tangga,< Rp 2 juta,bogor,4.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,23.0,SMA,Karyawan Swasta,< Rp 2 juta,pekalongan,5.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,52.0,SMA,Driver online,< Rp 2 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,10.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,46.0,S1,Ibu Rumah Tangga,< Rp 2 juta,bekasi,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,12.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,25.0,S1,Karyawan Swasta,Rp 2 juta – Rp 5 juta,tangerang,6.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,16.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,21.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,depok,5.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,50.0,SMA,Karyawan Swasta,Rp 5 juta – Rp 10 juta,jakarta,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,13.0,SD,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,7.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,58.0,S3,"Profesional ( Dokter, Dosen, Pengacara, dll)",Rp 5 juta – Rp 10 juta,bandung,6.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,semarang,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,7.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,47.0,S2,Karyawan Swasta,> Rp 10 juta,jakarta,2.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,25.0,S1,Karyawan Swasta,Rp 2 juta – Rp 5 juta,yogyakarta,5.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,48.0,S1,Karyawan Swasta,> Rp 10 juta,jakarta,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,37.0,S2,Karyawan Swasta,> Rp 10 juta,cilegon,2.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,45.0,S1,Karyawan Swasta,> Rp 10 juta,jakarta,3.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,7.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,medan,7.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,56.0,S2,"Profesional ( Dokter, Dosen, Pengacara, dll)",> Rp 10 juta,jakarta,4.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,10.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,39.0,S1,Karyawan Swasta,> Rp 10 juta,palembang,4.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,46.0,D3,Karyawan Swasta,Rp 2 juta – Rp 5 juta,garut,5.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,tangerang,7.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,22.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,palembang,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,tasikmalaya,12.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,50.0,S2,Karyawan BUMN,> Rp 10 juta,cilegon,2.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,16.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,surabaya,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,10.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,43.0,S1,Karyawan Swasta,> Rp 10 juta,jakarta,10.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,yogyakarta,6.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,bandung,9.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,61.0,S2,purnawirawan polri,Rp 5 juta – Rp 10 juta,bandung,4.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,36.0,S1,"Profesional ( Dokter, Dosen, Pengacara, dll)",Rp 5 juta – Rp 10 juta,bandung,3.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,malang,9.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,40.0,S1,"Profesional ( Dokter, Dosen, Pengacara, dll)",> Rp 10 juta,medan,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,28.0,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,medan,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,47.0,D3,Karyawan Swasta,> Rp 10 juta,tangerang,12.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,tangerang,16.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,21.0,S1,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,jakarta,6.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,31.0,S1,Pegawai Negeri,> Rp 10 juta,jakarta,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,jakarta,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,16.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
